"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017-01","Canada","2016A000011124","Persons","249","units","0","v1","1","36313068","","","","0"
"2017-04","Canada","2016A000011124","Persons","249","units","0","v1","1","36397141","","","","0"
"2017-07","Canada","2016A000011124","Persons","249","units","0","v1","1","36545075","","","","0"
"2017-10","Canada","2016A000011124","Persons","249","units","0","v1","1","36722075","","","","0"
"2018-01","Canada","2016A000011124","Persons","249","units","0","v1","1","36801579","","","","0"
"2018-04","Canada","2016A000011124","Persons","249","units","0","v1","1","36903671","","","","0"
"2018-07","Canada","2016A000011124","Persons","249","units","0","v1","1","37072620","","","","0"
"2018-10","Canada","2016A000011124","Persons","249","units","0","v1","1","37259485","","","","0"
"2019-01","Canada","2016A000011124","Persons","249","units","0","v1","1","37336956","","","","0"
"2019-04","Canada","2016A000011124","Persons","249","units","0","v1","1","37437243","","","","0"
"2019-07","Canada","2016A000011124","Persons","249","units","0","v1","1","37618495","","","","0"
"2019-10","Canada","2016A000011124","Persons","249","units","0","v1","1","37828162","","","","0"
"2020-01","Canada","2016A000011124","Persons","249","units","0","v1","1","37928208","","","","0"
"2020-04","Canada","2016A000011124","Persons","249","units","0","v1","1","38006941","","","","0"
"2020-07","Canada","2016A000011124","Persons","249","units","0","v1","1","38028638","","","","0"
"2020-10","Canada","2016A000011124","Persons","249","units","0","v1","1","38027406","","","","0"
"2021-01","Canada","2016A000011124","Persons","249","units","0","v1","1","38058291","","","","0"
"2021-04","Canada","2016A000011124","Persons","249","units","0","v1","1","38140918","","","","0"
"2021-07","Canada","2016A000011124","Persons","249","units","0","v1","1","38239864","","","","0"
"2021-10","Canada","2016A000011124","Persons","249","units","0","v1","1","38446871","","","","0"
"2022-01","Canada","2016A000011124","Persons","249","units","0","v1","1","38566032","","","","0"
"2022-04","Canada","2016A000011124","Persons","249","units","0","v1","1","38682424","","","","0"
"2022-07","Canada","2016A000011124","Persons","249","units","0","v1","1","38935934","","","","0"
"2022-10","Canada","2016A000011124","Persons","249","units","0","v1","1","39279501","","","","0"
"2023-01","Canada","2016A000011124","Persons","249","units","0","v1","1","39527986","","","","0"
"2023-04","Canada","2016A000011124","Persons","249","units","0","v1","1","39748878","","","","0"
"2023-07","Canada","2016A000011124","Persons","249","units","0","v1","1","40083484","","","","0"
"2023-10","Canada","2016A000011124","Persons","249","units","0","v1","1","40513781","","","","0"
"2024-01","Canada","2016A000011124","Persons","249","units","0","v1","1","40784356","","","","0"
"2024-04","Canada","2016A000011124","Persons","249","units","0","v1","1","41038370","","","","0"
"2024-07","Canada","2016A000011124","Persons","249","units","0","v1","1","41288599","","","","0"
"2017-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","530175","","","","0"
"2017-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","529700","","","","0"
"2017-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","529742","","","","0"
"2017-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","530153","","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","529743","","","","0"
"2018-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","528924","","","","0"
"2018-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","528402","","","","0"
"2018-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","528926","","","","0"
"2019-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","528326","","","","0"
"2019-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","527993","","","","0"
"2019-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","527643","","","","0"
"2019-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","528442","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","528231","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","527733","","","","0"
"2020-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","526884","","","","0"
"2020-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","526046","","","","0"
"2021-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","525895","","","","0"
"2021-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","526195","","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","527056","","","","0"
"2021-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","528302","","","","0"
"2022-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","528957","","","","0"
"2022-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","529042","","","","0"
"2022-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","531308","","","","0"
"2022-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","533409","","","","0"
"2023-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","535298","","","","0"
"2023-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","536686","","","","0"
"2023-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","538907","","","","0"
"2023-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","541000","","","","0"
"2024-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","541820","","","","0"
